5DC	Shelf	Pallet #	SKU	UNIT QTY
29904	A1	990	R3540-TRI	96
30240	A2	21	R3206-UGR19-25-CW	72
10086	A3	648	R3206-UGR19-25-DL	72
34260	A4	811	R3043	100
30240	A5	22	R3206-UGR19-25-CW	72
30754	A6		R1092-18-WH-SIL-TRI	108
15541			R2587-WH-PRO	102
30451	A7	24	R3206-UGR19-30-CW	72
10086	A8	650	R3206-UGR19-25-DL	72
30240	A9	20	R3206-UGR19-25-CW	72
39040	A10	758	R9998	67
17113	A11	14	R1160-WH-V2	167
30230			R1170-WH-WW	179
0				
30351	A12		R6101-WW	14
30608			R6101-CW	1
30590			R6102-WW	6
30863			R6012-WW	1
30514			R6012-CW	8
30157			R6011-CW	4
30474			R2598-WH	124
30467			R2598-BK	80
35010	A13	A13	R2101-BK-WW	70
10086	A14	657	R3206-UGR19-25-DL	72
43837	A15	B2	R1152-SIL-CW	81
30290	A16		R2101-WH-WW	29
31105			R1141-BK-TK	95
18284			R2592-D-BK-WW	16
31289	A17	903	R1146-BK-BK-60-Sm	71
31878			R6073-BK-TRI	72
0				
0				
31542			R6090-BK-CW-V2	71
10086	A18	651	R3206-UGR19-25-DL	72
17160	A19	A19	R1306-BK-CW	167
30775	A20	1	R3540-EM-S-TRI	95
31432	A21	295	R-GPO2-WH-V1	1921
32924	A22	698	R3250-450-BK-CW_R10503	4
40111	A23	959	R3580	144
10086	A24	654	R3206-UGR19-25-DL	72
15823	A25	914	R0003	720
47516	A26	788	R1165-WH-WW	215
47933			R1166-BK-CW	53
15823	A27	912	R0003	720
15823	A28	r913	r0003	720
51635	A29	504	R3250-180-BK-CW_R10503	14
39040	A30	587	R9998	72
31648	A31		R-SLGP1-WH-V1	47
31432			R-GPO2-WH-V1	18
31767			R-RJ11	350
31486			R-SM16-V1	679
31359			R-GPO1-WH-V1	20
30559			R6236-WH	6
31597			R-SLSW1-WH-V1	25
31655			R-SLGP2-WH-V1	60
31330			R-SLGPO1-WH-V1	700
32924	A32	696	R3250-450-BK-CW_R10503	5
32924	A33	695	R3250-450-BK-CW_R10503	5
30101	A34	494	R6332-900	25
30299	A35	93	R2210	500
30456			R2218-BK	100
30690			R2216	640
30660			R2215-WH	200
31134	A36	603	R1141-BK-BK-60-SM	155
31226			R1141-WH-WH-60-SM	215
31440	A37	34	R6054-SS-TRI	79
30991	A38	A30	R3520-EM-S-TRI	96
43017	A39	35	R6397-TRI	48
