Order Number	Order Date	Fulfilled Date	Customer	SKU	Product Name	Qty	Picked Bin	Expected Bin	Error Type	Total Picks	Correct Picks	Anomaly Picks
SO-251884	2026-03-20	2026-03-20	Ben Carton Electrical	R1060-WH-TRI	8w Dimmable White COB Downlight, IP44 90mm Cutout, Tri Colour, 50o UGR19 w/ F&P	30	MA-A-04-L7-P1	MA-B-13-L1-P1	different_area	4	2	2
SO-251884	2026-03-20	2026-03-20	Ben Carton Electrical	CAL-CLA352-WH	Clayfield 52" White DC 3 Blade Fan With Remote	4	MA-G-10-L2-P1	MA-G-16-L2	same_section	4	2	2
SO-251993	2026-03-20	2026-03-20	Fathom electrical	24v-IP20-100w-DIM	100w, 24VDC Dimmable LED Driver, IP20	1	MA-B-10-L3-P1	MA-A-09-L2	different_area	8	7	1
SO-252301	2026-03-23	2026-03-23	Aussielec Pty Ltd	R2341-DL-2	10w 24V COB LED Strip Light, IP20, 5000K, 2m Roll	1	MA-A-12-L5	MA-A-12-L2	same_column	2	1	1
SO-252332	2026-03-23	2026-03-23	Stowe Australia Pty Ltd	R2218-WH	Rapidline Canopy Surface Mounted Kit, White	4	MA-C-11-L3-P1	MA-B-11-L1	different_area	1	0	1
SO-252425	2026-03-23	2026-03-23	Coastal Current Electrical	R1021-WH-TRI	8w Dimmable Downlight Integral Driver IP54 90mm Cut Out, Tri (3000K Warm White-4000K Cool White-5700K Daylight) White	90	MA-D-15-L7-P1	MA-G-01-L1	different_area	1	0	1
SO-252248	2026-03-23	2026-03-23	DXN Electrical Services	R2322-WW-4	10w 24v, Rapid Neoflex dual powered, 3000k, IP67 - Top Bend, 4m roll	2	MA-A-03-L1	MA-A-05-L1	same_section	1	0	1
SO-252295	2026-03-23	2026-03-23	Robina Electrical	R2218-WH	Rapidline Canopy Surface Mounted Kit, White	1	MA-B-11-L1-P1	MA-B-11-L1	pallet_only	5	4	1
SO-252328	2026-03-23	2026-03-23	HHE Pty Ltd	R1091-10-WH-SIL-TRI	10W Dimmable White COB Downlight with Silver Reflector, IP54 90mm Cutout, Tri Colour 60o UGR19 with F&P	64	MA-B-12-L2	MA-B-12-L2-P1	pallet_only	1	0	1
SO-252360	2026-03-23	2026-03-23	Mangleson Electrical (Gonewman Enterprises Pty Ltd)	R3118	200w, 160w & 120w Selectable Hi Bay IP65 Dual CCT 4K & 5K	10	MA-E-11-L6-P1	MA-F-07-L1	different_area	2	0	2
SO-252360	2026-03-23	2026-03-23	Mangleson Electrical (Gonewman Enterprises Pty Ltd)	R3044	200W, 150W & 100W Selectable, Anti-corrosion commercial floodlight IP66 â€“ 3000k/4000k â€“ Black	2	MA-E-08-L4-P2	MA-F-09-L1-P2	different_area	2	0	2
SO-252433	2026-03-23	2026-03-23	Green Switch Electrical	RQC	Rapid QC Surface Socket	10	MA-G-14-L6-P2	MA-G-02-L1-P2	same_section	3	1	2
