Item No.,Rapid code,Default Bin Location
0,R1206-SC-CW,C.13.L2
0,R1206-SC-WW,C.13.L2
10028,R2382_4-DIFF-10,MA-C-02-L1
10055,R3245-020-CW,MA-C-10-L1-P1
10076,R1073-WH-12W-WW-60-Carton36,MA-B-06-L2
10076,R1073-WH-12W-WW-60,MA-B-06-L2
10080,R6395-TRI,MA-A-16-L2
10080,R6395-TRI-Carton4,MA-A-16-L2
10086,R3206-UGR19-25-DL,MA-D-11-L2
10106,R1084-WH-CW-60,MA-B-14-L2
10248,R1084-WH-WW-60,MA-B-14-L2
10385,R1085-WH-WW-60,MA-B-13-L1-P2
10534,R3541-TRI,MA-D-11-L2
10555,R1085-WH-CW-60,MA-B-14-L2
10733,R3541-EM-TRI,MA-D-11-L2
10886,R3542-TRI,MA-D-10-L1-P1
11008,R3542-EM-TRI,MA-D-10-L1-P2
11617,R6370-BASE-Carton50,MA-E-11-L1
11617,R6370-BASE,MA-E-11-L1
12993,R3245-040-CW,MA-C-10-L1-P2
13264,R4101-WH-WW,MA-D-07-L1
13477,R4101-WH-CW,MA-D-07-L1
13632,R4101-BK-WW,MA-D-07-L1
13750,R6370-Carton6,MA-E-11-L1
13750,R6370,MA-E-11-L1
14123,R6370-1-Carton20,MA-E-11-L1
14123,R6370-1,MA-E-11-L1
14638,R6370-2,MA-E-11-L1
14638,R6370-2-Carton20,MA-E-11-L1
15010,R6370-3,MA-E-11-L1
15010,R6370-3-Carton20,MA-E-11-L1
15345,R1140-WH-BK-36-TP,Production
15360,R1021-SC-TRI,BOM
15368,R6333-500,BOM
15371,R2362-RGBW-2,MA-A-08-L3
15373,R9990-S-WH-Carton20,MA-F-01-L2
15373,R9990-S-WH,MA-F-01-L2
15432,R2362-RGBW-4,MA-A-08-L3
15434,R9990-S-BK-Carton20,MA-F-01-L2
15434,R9990-S-BK,MA-F-01-L2
15437,R2641-WH-6,MA-D-12-L1-P1
15440,R6121-SS-CW,MA-E-16-L3
15448,R2580-BK-TRI-60-P1,MA-D-09-L2
15448,R2580-BK-TRI-60-P1-Carton20,MA-D-09-L2
15452,R0001-RF,MA-C-12-L1-P1
15460,R2580-WH-TRI-60-P1,MA-D-09-L2
15460,R2580-WH-TRI-60-P1-Carton20,MA-D-09-L2
15465,R6121-SS-WW,MA-E-15-L3
15471,R2581-BK-TRI-60-P1,MA-D-09-L2
15471,R2581-BK-TRI-60-P1-Carton12,MA-D-09-L2
15481,R2362-RGBW-6,MA-A-08-L3
15483,R2581-WH-TRI-60-P1-Carton12,MA-D-10-L2
15483,R2581-WH-TRI-60-P1,MA-D-10-L2
15494,R2582-BK-TRI-60-P1-Carton12,MA-C-11-L2-P2
15494,R2582-BK-TRI-60-P1,MA-C-11-L2-P2
15498,R6121-BK-CW,MA-E-16-L3
15504,R2582-WH-TRI-60-P1,MA-D-10-L2
15504,R2582-WH-TRI-60-P1-Carton12,MA-D-10-L2
15509,R3208-TRI,MA-C-09-L1-P1
15509,R3208-TRI-Carton4,MA-A-05-L8-P2
15516,R2586-BK-PRO,MA-D-09-L3
15520,R2362-RGBW-8,MA-A-08-L3
15523,R2586-WH-PRO,MA-D-09-L3
15530,R2587-BK-PRO,MA-D-09-L3
15534,R9990-KIT,MA-F-01-L2
15537,R2582-BK-TRI-60-P2,D.10.L1.P1
15541,R2587-WH-PRO,MA-D-09-L3
15546,R6121-BK-WW,MA-E-16-L3
15551,R2580-Lens-15deg,MA-A-02-L5-P1
15559,R2580-Lens-24deg-Carton100,MA-A-02-L5-P1
15559,R2580-Lens-24deg,MA-A-02-L5-P1
15571,R2580-Lens-36deg,B.15.L1
15578,R134M-5W-CW-40,MA-C-16-L3
15583,R2581-Lens-12deg,MA-A-02-L5-P2
15587,R0002,MA-C-12-L1-P2
15589,R6122-SS-CW,MA-E-16-L3
15592,R2581-Lens-24deg,MA-A-02-L5-P2
15597,R2362-RGBW-10,MA-A-08-L3
15603,R2581-Lens-36deg,MA-A-02-L5-P2
15617,R2582-Lens-12deg,MA-A-02-L5-P2
15629,R2582-Lens-24deg,MA-A-02-L5-P1
15636,R6122-SS-WW,MA-E-16-L3
15640,R2582-Lens-36deg,MA-A-02-L5-P1
15644,R2362-RGBW-15,MA-A-08-L3
15647,R134M-5W-WW-40,MA-C-16-L3
15666,R6122-BK-CW,MA-E-17-L3
15685,R107M-12W-XW-60,MA-B-16-L1
15685,R107M-12W-XW-60-Carton48,MA-B-13-L6-P2
15702,R134M-5W-FRAME-BK,MA-C-16-L1
15716,R0002-RF,MA-C-13-L1-P1
15726,R6122-BK-WW,MA-E-17-L3
15767,R2362-RGBW,A.04.L4.P1
15783,R6123-SS-CW,MA-E-17-L3
15813,R134M-10W-CW-40,MA-C-16-L3
15823,R0003,MA-C-13-L1-P2
15825,R6123-SS-WW,MA-E-17-L3
15825,R6123-SS-WW-Carton50,MA-E-17-L3
15866,R6123-BK-CW,MA-E-17-L3
15907,R134M-10W-WW-40,MA-C-16-L3
15922,R0003-RF,MA-C-14-L1-P1
15925,R6123-BK-WW,MA-E-17-L3
15925,R6123-BK-WW-Carton50,MA-E-17-L3
15927,R2610-BK-1.5,MA-D-12-L1-P2
15998,R134M-10W-FRAME-BK-Carton100,MA-C-16-L1
15998,R134M-10W-FRAME-BK,MA-C-16-L1
16002,R1341-BK,MA-C-16-L4
16119,R1341-WH,MA-C-16-L4
16401,R2396-DIFF-10,MA-C-02-L1
16431,R2322-CW-10-V2,A.04.L1
16434,R2218-WH-SM,MA-B-11-L1-P1
16448,R1341-A-WH,MA-C-16-L4
16458,R3077-400,MA-F-13-L1-P1
16558,R1341-A-BK,MA-C-16-L4
16618,R1342-BK,MA-C-16-L3
16632,R2396-DIFF-5,MA-C-02-L1
16719,R1342-WH,MA-C-16-L3
16831,R3243-020-CW,MA-F-15-L1
16881,R1075-WH-12W-WW-60,MA-B-07-L2
16890,HUB-24v-IP20-060w-MO,MA-A-07-L5-P2
16907,R3250-300-BK-CW_R10503,MA-F-14-L1
16910,HUB-24v-IP20-100w-MO,MA-A-07-L5-P2
