Sales Order,Order Date,Customer,Shipped Date,Total Picks,Anomaly Picks,Corrections Made,Error Types
SO-252660,2026-03-24,"Tim Bradley Electrical",2026-03-24,1,1,1,"Different Section!"
SO-252583,2026-03-24,"AZZ Industries Electrical Contracting Pty Ltd",2026-03-24,1,1,1,"Wrong Column (same section)"
SO-252774,2026-03-24,"Powertrip Electrical Services",2026-03-24,9,1,1,"Wrong Column (same section)"
SO-253051,2026-03-25,"New Age Electrical Co (NAE & Energy Co Pty Ltd)",2026-03-26,4,2,2,"Different Section!; Wrong Column (same section)"
SO-252882,2026-03-25,"Platinum Electricians - Springwood",2026-03-25,9,3,2,"Different Section!; Wrong Column (same section)"
SO-252986,2026-03-25,"Diamond Standard Electrical",2026-03-25,5,3,2,"Wrong Column (same section); Special Location; Different Section!"
SO-252866,2026-03-25,"Sintech Lighting (Krushaw Pty Ltd T/A)",2026-03-25,3,1,1,"Wrong Level (same column)"
SO-252891,2026-03-25,"Bargara Electrical Pty Ltd",2026-03-25,1,1,1,"Wrong Column (same section)"
SO-253033,2026-03-25,"BTM Electrical SA",2026-03-26,4,2,1,"Wrong Column (same section); Wrong Level (same column)"
SO-253092,2026-03-25,"Miami Electrical GC",2026-03-27,6,4,4,"Different Section!; Wrong Column (same section)"
SO-253089,2026-03-25,"Coastal Current Electrical",2026-03-26,1,1,1,"Different Section!"
SO-253173,2026-03-26,"O'Brien Electrical - Loganholme",2026-03-26,1,1,1,"Different Section!"
SO-253143,2026-03-26,"Industrial Solutions Electrical Contractors",2026-03-26,10,1,1,"Wrong Column (same section)"
SO-253167,2026-03-26,"O'Brien Electrical - Loganholme",2026-03-26,3,3,3,"Wrong Column (same section); Different Section!"
SO-253252,2026-03-26,"CTC",2026-03-26,5,2,2,"Different Section!; Wrong Column (same section)"
SO-253546,2026-03-27,"Elonara Pty Ltd",2026-03-27,1,1,1,"Different Section!"
SO-253838,2026-03-30,"T2 Electrical & Data Pty Ltd",2026-03-30,1,1,1,"Different Section!"
SO-253911,2026-03-30,"N.S Dwyer Electrics Pty Ltd",2026-03-30,6,3,1,"Wrong Level (same column); Wrong Column (same section); Different Section!"
SO-253836,2026-03-30,"Geoff Elder Electrical Mechanical Repairs",2026-03-30,2,1,1,"Different Section!"
SO-254239,2026-03-31,"Cash Sale",2026-03-31,1,1,1,"Different Section!"
SO-254186,2026-03-31,"Electrical Logic",2026-03-31,1,1,1,"Wrong Column (same section)"
SO-254262,2026-03-31,"First Choice Electrical and Maintenance",2026-04-02,6,1,1,"Different Section!"
SO-254348,2026-04-01,"Robina Electrical",2026-04-01,2,2,1,"Different Section!"
SO-254801,2026-04-02,"OS Electrics Pty Ltd",2026-04-02,2,1,1,"Different Section!"
SO-254815,2026-04-02,"Tripfix Electrical Pty Ltd",2026-04-02,2,1,1,"Different Section!"
SO-254922,2026-04-07,"Australian Data Industries",2026-04-07,4,1,1,"Different Section!"
SO-255146,2026-04-07,"Glen Owen Electrical",2026-04-07,4,3,3,"Different Section!; Wrong Column (same section)"
SO-255130,2026-04-07,"Joyce Electrical Contracting Pty Ltd",2026-04-07,7,4,4,"Different Section!; Wrong Column (same section)"
SO-255220,2026-04-08,"Amped Innovations",2026-04-08,8,3,3,"Different Section!; Wrong Level (same column); Wrong Column (same section)"
