5dc,SKU,QTY,Location,Avg Monthly Sales,6mo Total (est)
30661,R3225-20-BK-DL,19,MA-C-11-L3-P2,0.9,5
30661,R3225-20-BK-DL,25,MA-C-12-L4-P2,0.9,5
30092,R3226-20-BK-DL,17,MA-C-12-L5-P2,0.3,2
30058,R3226-40-BK-DL,20,MA-C-12-L6-P2,,
37040,R2206-WH-WW-V1,66,MA-C-14-L6-P1,0.2,1
30598,R9998-V1,4,MA-C-14-L6-P1,14.9,89
30763,R2151-SC-O-CW,61,MA-D-09-L4-P2,,
30850,R2152-SC-C-CW,24,MA-D-09-L4-P2,,
30831,R2152-SC-C-WW,114,MA-D-09-L4-P2,0.6,4
30306,R2152-WH-C-CW,4,MA-D-09-L4-P2,3.2,19
30410,R2152-WH-O-CW,4,MA-D-09-L4-P2,,
30263,R2152-WH-O-WW,35,MA-D-09-L4-P2,,
30709,R2590-BK-CW,1,MA-D-09-L4-P2,,
30287,R2590-BK-WW,2,MA-D-09-L4-P2,,
30025,R2590-RM-WH-CW,1,MA-D-09-L4-P2,0,0
69655,R2592-BK-WW,3,MA-D-09-L4-P2,0,0
30363,R2592-D-WH-CW,1,MA-D-09-L4-P2,0.6,4
30595,R2593-D-BK-WW,9,MA-D-09-L4-P2,28,168
30266,R2593-D-WH-CW,8,MA-D-09-L4-P2,0,0
31648,R-SLGP1-WH-V1,200,MA-D-12-L3-P1,17.8,107
31655,R-SLGP2-WH-V1,400,MA-D-12-L3-P1,0,0
31676,R-SLGP3-WH-V1,100,MA-D-12-L3-P1,267.2,1603
31699,R-SLGP4-WH-V1,197,MA-D-12-L3-P1,371.4,2228
31597,R-SLSW1-WH-V1,800,MA-D-12-L3-P1,1.1,7
31619,R-SLSW2-WH-V1,800,MA-D-12-L3-P1,1.7,10
31350,R-SLGPO2-WH-V1,2999,MA-D-13-L7-P1,1.5,9
31330,R-SLGPO1-WH-V1,999,MA-D-14-L6-P1,1.2,7
31644,R-SLSW3-WH-V1,499,MA-D-14-L6-P1,0,0
31369,R-SLGPO2-15-WH-V1,200,MA-D-15-L5-P1,9.2,55
31374,R-SLGPO2X-WH-V1,99,MA-D-15-L5-P1,0.6,4
31597,R-SLSW1-WH-V1,999,MA-D-15-L5-P1,1.1,7
31683,R-SLSW5-WH-V1,199,MA-D-15-L5-P1,12.1,73
31549,R-GP1-WH-V1,1200,MA-G-14-L4-P1,162.8,977
31563,R-GP2-WH-V1,1400,MA-G-14-L4-P1,1.7,10
31587,R-GP4-WH-V1,400,MA-G-14-L4-P1,61.3,368
31377,R-GPO1-15-WH-V1,100,MA-G-14-L4-P1,0,0
31549,R-GP1-WH-V1,1379,MA-G-15-L4-P1,162.8,977
31563,R-GP2-WH-V1,1480,MA-G-15-L4-P1,1.7,10
31569,R-GP3-WH-V1,1200,MA-G-15-L4-P1,78.6,472
31428,R-HDMI,1000,MA-G-15-L4-P2,1.2,7
31782,R-TVF-F-V1,1000,MA-G-15-L4-P2,42.6,256
31736,R-TVPAL-F,980,MA-G-15-L4-P2,127,762
31503,R-UMB,5000,MA-G-15-L4-P2,270.4,1622
31597,R-SLSW1-WH-V1,729,MA-G-15-L5-P1,1.1,7
31619,R-SLSW2-WH-V1,357,MA-G-15-L5-P1,1.7,10
31644,R-SLSW3-WH-V1,317,MA-G-15-L5-P1,0,0
31659,R-SLSW4-WH-V1,153,MA-G-15-L5-P1,0,0
31683,R-SLSW5-WH-V1,75,MA-G-15-L5-P1,12.1,73
31299,R-SLSW6-WH-V1,82,MA-G-15-L5-P1,5.1,31
31588,R-SLBP-WH-V1,199,MA-G-16-L4-P1,150.4,902
31648,R-SLGP1-WH-V1,1000,MA-G-16-L4-P1,17.8,107
31655,R-SLGP2-WH-V1,1020,MA-G-16-L4-P1,0,0
31676,R-SLGP3-WH-V1,500,MA-G-16-L4-P1,267.2,1603
31699,R-SLGP4-WH-V1,500,MA-G-16-L4-P1,371.4,2228
31722,R-SLGP5-WH-V1,200,MA-G-16-L4-P1,88.7,532
31750,R-SLGP6-WH-V1,200,MA-G-16-L4-P1,94.8,569
31369,R-SLGPO2-15-WH-V1,100,MA-G-16-L4-P1,9.2,55
31299,R-SLSW6-WH-V1,200,MA-G-16-L4-P1,5.1,31
31341,R-SLGPO1-15-WH-V1,300,MA-G-17-L4-P1,36.4,218
31350,R-SLGPO2-WH-V1,36,MA-G-17-L4-P1,1.5,9
31597,R-SLSW1-WH-V1,14,MA-G-17-L4-P1,1.1,7
31619,R-SLSW2-WH-V1,993,MA-G-17-L4-P1,1.7,10
31644,R-SLSW3-WH-V1,18,MA-G-17-L4-P1,0,0
31659,R-SLSW4-WH-V1,202,MA-G-17-L4-P1,0,0
31683,R-SLSW5-WH-V1,1,MA-G-17-L4-P1,12.1,73
31299,R-SLSW6-WH-V1,3,MA-G-17-L4-P1,5.1,31
31588,R-SLBP-WH-V1,179,MA-G-17-L4-P2,150.4,902
31648,R-SLGP1-WH-V1,202,MA-G-17-L4-P2,17.8,107
31722,R-SLGP5-WH-V1,40,MA-G-17-L4-P2,88.7,532
31750,R-SLGP6-WH-V1,39,MA-G-17-L4-P2,94.8,569
31330,R-SLGPO1-WH-V1,124,MA-G-17-L4-P2,1.2,7
31369,R-SLGPO2-15-WH-V1,38,MA-G-17-L4-P2,9.2,55
31350,R-SLGPO2-WH-V1,49,MA-G-17-L4-P2,1.5,9
31374,R-SLGPO2X-WH-V1,104,MA-G-17-L4-P2,0.6,4
31597,R-SLSW1-WH-V1,2,MA-G-17-L4-P2,1.1,7
31486,R-SM16-V1,239,MA-G-17-L4-P2,87.9,527
