SKU,Product Name,Category,Barcode,Status,Stock Locator,Issue Type,On Hand,Available,Allocated,Bins With Stock,Unassigned Stock (no bin),Detail
12v-IP20-020w,"20w, 12VDC LED Driver, with Flex & Plug, IP20 *",Drivers,,Active,A.07.L3,LOCATOR_MISMATCH,1,1,0,MA-RETURNS,0,stock_locator=A.07.L3 but stock is in [MA-RETURNS]
12v-IP67-060w,"R2918 60w, 12VDC Weatherproof LED Driver With Flex & Plug, IP67",Drivers,9727435300093,Active,MA-A-10-L2,LOCATOR_MISMATCH,245,245,0,MA-A-06-L7-P1 | MA-A-09-L3,0,"stock_locator=MA-A-10-L2 but stock is in [MA-A-06-L7-P1, MA-A-09-L3]"
C-WMV-50HRFN8,MDV 5.0kw reverse cycle high wall single split air conditioner - outdoor unit,AIR MOVEMENT,9727435958515,Active,MA-C-13-L1-P1,LOCATOR_MISMATCH,2,2,0,MA-F-17-L6-P2,0,stock_locator=MA-C-13-L1-P1 but stock is in [MA-F-17-L6-P2]
C350-421100DB-F,46w 650-1100mA 14-42v Dali-2 LED Driver with F&P,Drivers,9727435315455,Active,MA-B-03-L4-P2,LOCATOR_MISMATCH,621,621,0,MA-A-01-L4-P1 | MA-A-01-L4-P2 | MA-A-07-L6-P2,0,"stock_locator=MA-B-03-L4-P2 but stock is in [MA-A-01-L4-P1, MA-A-01-L4-P2, MA-A-07-L6-P2]"
CAL-SOR-900EXT-WH,Clayfield 900mm White Extension Rod,Air movement - Accessories,,Active,MA-G-12-L1-P1,LOCATOR_MISMATCH,1,1,0,MA-F-12-L1-P1,0,stock_locator=MA-G-12-L1-P1 but stock is in [MA-F-12-L1-P1]
DEK-INGRAM-L-WH,"DKA210481 - 52"" 1320mm ABS 4 Blade Ceiling Fan - White with 18w CCT Light",AIR MOVEMENT,9300002249515,Active,MA-G-12-L1-P1,LOCATOR_MISMATCH,5,5,0,MA-G-13-L5-P2,0,stock_locator=MA-G-12-L1-P1 but stock is in [MA-G-13-L5-P2]
DEK-RONDOII58-BK,Rondo 58' Black 4 Blade ABS DC Fan With Remote & Wall Control,AIR MOVEMENT,9318266308466,Active,MA-G-13-L2,LOCATOR_MISMATCH,4,4,0,MA-G-15-L3,0,stock_locator=MA-G-13-L2 but stock is in [MA-G-15-L3]
LENS-R3070_1-60deg,60 degree lens to suit R3070 and R3071 Floodlight,Floodlights,9727435873238,Active,MA-F-14-L3,LOCATOR_MISMATCH,16,16,0,MA-F-13-L3,0,stock_locator=MA-F-14-L3 but stock is in [MA-F-13-L3]
R-GPO1-15-WH-V1,15A Single Powerpoint *,Bakelite,9727435313772,Active,MA-G-17-L4-P2,LOCATOR_MISMATCH,100,100,0,MA-G-14-L4-P1,0,stock_locator=MA-G-17-L4-P2 but stock is in [MA-G-14-L4-P1]
R-MB18-V1,18mm Mounting Block,Bakelite,9727435315158,Active,MA-C-15-L4-P2,LOCATOR_MISMATCH,271,271,0,MA-OFFICE-AREA,0,stock_locator=MA-C-15-L4-P2 but stock is in [MA-OFFICE-AREA]
R-SW3-WH-V1,"3 Gang Wall Switch, White *",Bakelite,9727435312966,Active,MA-G-14-L5-P1,LOCATOR_MISMATCH,5,5,0,MA-G-17-L4-P2,0,stock_locator=MA-G-14-L5-P1 but stock is in [MA-G-17-L4-P2]
R-SW4-WH-V1,"4 Gang Wall Switch, White *",Bakelite,9727435313079,Active,MA-G-14-L4-P1,LOCATOR_MISMATCH,64,64,0,MA-G-17-L4-P2,0,stock_locator=MA-G-14-L4-P1 but stock is in [MA-G-17-L4-P2]
R-SW5-WH-V1,"5 Gang Wall Switch, White *",Bakelite,9727435313338,Active,MA-G-14-L4-P1,LOCATOR_MISMATCH,1,1,0,MA-G-17-L4-P2,0,stock_locator=MA-G-14-L4-P1 but stock is in [MA-G-17-L4-P2]
R-TVF-F-V1,F-F Type TV Mechanism *,Bakelite,9727435317824,Active,MA-D-17-L2,LOCATOR_MISMATCH,1000,1000,0,MA-G-15-L4-P2,0,stock_locator=MA-D-17-L2 but stock is in [MA-G-15-L4-P2]
R-TVPAL-F,PAL-F Type TV Mechanism,Bakelite,9727435340051,Active,MA-D-17-L2,LOCATOR_MISMATCH,980,980,0,MA-G-15-L4-P2,0,stock_locator=MA-D-17-L2 but stock is in [MA-G-15-L4-P2]
R0001-RF,"Wireless Interconnect DC Smoke Alarm, 10 Year Lithium Battery",Smoke Alarms,9727435154528,Active,MA-C-12-L1-P1,LOCATOR_MISMATCH,350,350,0,MA-A-03-L8-P2,0,stock_locator=MA-C-12-L1-P1 but stock is in [MA-A-03-L8-P2]
R0001-RF-V2,"Wireless Interconnect DC Smoke Alarm, 10 Year Lithium Battery",Smoke Alarms,9727435187557,Active,MA-A-10-L4-P1,LOCATOR_MISMATCH,69,69,0,MA-H-07-L4-P1,0,stock_locator=MA-A-10-L4-P1 but stock is in [MA-H-07-L4-P1]
R0002,"240v Smoke Alarm, 3v Rechargeable Lithium Battery",Smoke Alarms,9727435155877,Active,MA-C-12-L1-P2,LOCATOR_MISMATCH,681,681,0,MA-A-03-L8-P2,0,stock_locator=MA-C-12-L1-P2 but stock is in [MA-A-03-L8-P2]
R0002-RF,"240v Wireless Interconnect Smoke Alarm, 3v Rechargeable Lithium Battery",Smoke Alarms,9727435157161,Active,MA-C-13-L1-P1,LOCATOR_MISMATCH,453,453,0,MA-B-13-L6-P2 | MA-H-07-L4-P1,0,"stock_locator=MA-C-13-L1-P1 but stock is in [MA-B-13-L6-P2, MA-H-07-L4-P1]"
R0002-RF-V2,"240v Wireless Interconnect Smoke Alarm, 3v Rechargeable Lithium Battery",Smoke Alarms,9727435190120,Active,MA-A-09-L7-P2,LOCATOR_MISMATCH,67,67,0,MA-B-13-L6-P2 | MA-H-07-L4-P1,0,"stock_locator=MA-A-09-L7-P2 but stock is in [MA-B-13-L6-P2, MA-H-07-L4-P1]"
R0003,"240v Smoke Alarm, 9v Battery",Smoke Alarms,9727435158236,Active,MA-C-13-L1-P2,LOCATOR_MISMATCH,719,719,0,MA-G-08-L3-P2,0,stock_locator=MA-C-13-L1-P2 but stock is in [MA-G-08-L3-P2]
R0003-RF,"240v Wireless Interconnect Smoke Alarm, 9v Battery",Smoke Alarms,9727435159226,Active,MA-C-14-L1-P1,LOCATOR_MISMATCH,180,180,0,MA-DOCK,0,stock_locator=MA-C-14-L1-P1 but stock is in [MA-DOCK]
R0003-RF-V2,"240v Wireless Interconnect Smoke Alarm, 9v Battery",Smoke Alarms,9727435191615,Active,MA-A-09-L7-P1,LOCATOR_MISMATCH,81,81,0,MA-B-13-L6-P2,0,stock_locator=MA-A-09-L7-P1 but stock is in [MA-B-13-L6-P2]
R1030-WH-TRI,"7w Dimmable Downlight Integral Driver IP44 70mm Cut Out, White",Downlights,9727435306194,Active,MA-B-07-L1-P1,LOCATOR_MISMATCH,460,460,0,MA-B-03-L1-P1,0,stock_locator=MA-B-07-L1-P1 but stock is in [MA-B-03-L1-P1]
R1041-8,"8w Dimmable downlight with F&P IP54 90mm cut out, White Tri",Downlights,9727435345124,Active,MA-A-14-L2-P2,LOCATOR_MISMATCH,139,139,0,MA-A-14-L2-P1,0,stock_locator=MA-A-14-L2-P2 but stock is in [MA-A-14-L2-P1]
R1069-WH-12W-WW-60-V1,"12w Architectural Dimmable Deep Set COB Downlight, IP20, 60o Beam, 90mm Cut Out. 3000K White *",Downlights,0,Deprecated,B.16.L3,LOCATOR_MISMATCH,3,3,0,MA-DOCK,0,stock_locator=B.16.L3 but stock is in [MA-DOCK]
R1071-A-BK-CW-60,"12w - 6w Architectural Dimmable Deep Set COB Adjustable Downlight, IP20, White, 90mm Cut Out, 4000K - CW 60o Black",Downlights,9727435306040,Active,MA-B-03-L2,LOCATOR_MISMATCH,98,98,0,MA-A-12-L7-P1,0,stock_locator=MA-B-03-L2 but stock is in [MA-A-12-L7-P1]
R1071-A-BK-WW-60,"12w - 6w Architectural Dimmable Deep Set COB Adjustable Downlight, IP20, White, 90mm Cut Out, 3000K - WW 60o Black",Downlights,9727435449181,Active,MA-B-04-L2,LOCATOR_MISMATCH,98,98,0,MA-H-02-L6-P2,0,stock_locator=MA-B-04-L2 but stock is in [MA-H-02-L6-P2]
R1071-A-WH-12W-WW-60-V1,"12w Architectural Dimmable Deep Set COB Adjustable Downlight, IP20, White, 90mm Cut Out, 3000K - WW 60o White *",Downlights,9727435301588,Deprecated,B.04.L2,LOCATOR_MISMATCH,1,1,0,MA-PRODUCTION,0,stock_locator=B.04.L2 but stock is in [MA-PRODUCTION]
R1071-WH-12W-CW-60,"12w Architectural Dimmable Deep Set COB Downlight, IP65, 90mm Cut Out. 60o Beam Cool White 4000K White",Downlights,9727435183030,Active,MA-B-03-L2,LOCATOR_MISMATCH,2,2,0,MA-DOCK,0,stock_locator=MA-B-03-L2 but stock is in [MA-DOCK]
R1071-WH-12W-WW-60,"12w Architectural Dimmable Deep Set COB Downlight, IP65, 90mm Cut Out. 60o Beam Warm White 3000K White",Downlights,9727435182064,Active,MA-B-06-L1-P2,LOCATOR_MISMATCH,31,31,0,MA-E-12-L3-P2 | MA-PRODUCTION,0,"stock_locator=MA-B-06-L1-P2 but stock is in [MA-E-12-L3-P2, MA-PRODUCTION]"
R1071-WH-12W-WW-60-V1,"12w Architectural Dimmable Deep Set COB Downlight, IP65, 90mm Cut Out. 60o Beam Warm White 3000K White *",Downlights,9727435302080,Active,B.03.L2,LOCATOR_MISMATCH,4,4,0,MA-B-16-L4,0,stock_locator=B.03.L2 but stock is in [MA-B-16-L4]
R1073-WH-12W-CW-60,"12w COB Dimmable Adjustable Downlight, Remote Driver, Flex and Plug, White Trim, Cool White, 60o Beam",Downlights,9727435309324,Active,MA-B-06-L2,LOCATOR_MISMATCH,2,2,0,MA-DOCK,0,stock_locator=MA-B-06-L2 but stock is in [MA-DOCK]
R1073-WH-12W-WW-60-V1,"12w COB Dimmable Adjustable Downlight, Remote Driver, Flex and Plug, White Trim, Warm White, 60o Beam *",Downlights,9727435300840,Active,MA-B-06-L2,LOCATOR_MISMATCH,2,2,0,MA-B-16-L4,0,stock_locator=MA-B-06-L2 but stock is in [MA-B-16-L4]
R1073-WH-9W-WW-60,"12W - 6W COB Dimmable Adjustable Downlight, Remote Driver, Flex and Plug, White Trim, Warm White, 60o Beam",Downlights,9727435713244,Active,BOM,LOCATOR_MISMATCH,229,229,0,MA-H-14-L5-P1,0,stock_locator=BOM but stock is in [MA-H-14-L5-P1]
R1073-WH-9W-WW-60-V2,"9w COB Dimmable Adjustable Downlight, Remote Driver, Flex and Plug, White Trim, Warm White, 60o Beam",Downlights,,Active,BOM,LOCATOR_MISMATCH,217,217,0,MA-G-14-L5-P1,0,stock_locator=BOM but stock is in [MA-G-14-L5-P1]
R1076-WH-12W-CW-60,"12w COB Dimmable Downlight, Remote Driver, Flex and Plug, White Trim, Cool White, 60o Beam - V1",Downlights,9727435300505,Active,B.08.L2,LOCATOR_MISMATCH,54,54,0,MA-DOCK | MA-E-12-L3-P2,0,"stock_locator=B.08.L2 but stock is in [MA-DOCK, MA-E-12-L3-P2]"
R1076-WH-12W-WW-60,"12w COB Dimmable Downlight, Remote Driver, Flex and Plug, White Trim, Warm White, 60o Beam *",Downlights,9727435307061,Active,B.08.L2,LOCATOR_MISMATCH,18,18,0,MA-E-12-L3-P2,0,stock_locator=B.08.L2 but stock is in [MA-E-12-L3-P2]
R1076-WH-12W-WW-60-V2,"12w COB Dimmable Downlight, Remote Driver, Flex and Plug, White Trim, Warm White, 60o Beam",Downlights,9727435182149,Active,MA-B-06-L1-P1,LOCATOR_MISMATCH,27,27,0,MA-DOCK,0,stock_locator=MA-B-06-L1-P1 but stock is in [MA-DOCK]
R1079-WH-12W-WW-60,"12w COB Adjustable Dimmable Downlight, Remote Driver, Flex and Plug, 60o Beam, White, Warm White",Downlights,9727435309676,Active,MA-B-09-L2,LOCATOR_MISMATCH,2,2,0,MA-DOCK,0,stock_locator=MA-B-09-L2 but stock is in [MA-DOCK]
R1079-WH-12W-WW-60-V1,"12w COB Adjustable Dimmable Downlight, Remote Driver, Flex and Plug, 60o Beam, White, Warm White *",Downlights,9727435308877,Active,B.09.L2,LOCATOR_MISMATCH,3,3,0,MA-B-16-L4,0,stock_locator=B.09.L2 but stock is in [MA-B-16-L4]
R1079-WH-WW-24,"12w -6w COB Adjustable Dimmable Downlight, Remote Driver, Flex and Plug, 24o Beam, White, Warm White",Downlights,,Active,MA-B-09-L2,LOCATOR_MISMATCH,5,5,0,MA-RETURNS,0,stock_locator=MA-B-09-L2 but stock is in [MA-RETURNS]
R107M-12W-CW-24,Module for R107 head range - CW 24 degrees *,Downlights,9727435307283,Active,MA-B-15-L1,LOCATOR_MISMATCH,7,7,0,MA-DOCK,0,stock_locator=MA-B-15-L1 but stock is in [MA-DOCK]
R107M-12W-CW-60-S,Module for R107 head range - CW 60 degrees - Special,Downlights,9727435820959,Active,MA-B-15-L1,LOCATOR_MISMATCH,2,2,0,MA-GA,0,stock_locator=MA-B-15-L1 but stock is in [MA-GA]
R107M-12W-CW-60-S-V1,Module for R107 head range - CW 60 degrees - Special *,Downlights,9727435308143,Active,MA-B-15-L1,LOCATOR_MISMATCH,45,45,0,MA-B-10-L1-P1,0,stock_locator=MA-B-15-L1 but stock is in [MA-B-10-L1-P1]
R107M-12W-CW-60-V1,Module for R107 head range - CW 60 degrees *,Downlights,9727435307900,Active,B.15.L1,LOCATOR_MISMATCH,10,10,0,MA-DOCK | MA-PRODUCTION,0,"stock_locator=B.15.L1 but stock is in [MA-DOCK, MA-PRODUCTION]"
R107M-12W-WW-24-V1,Module for R107 head range - WW 24 degrees *,Downlights,9727435308235,Active,B.15.L1,LOCATOR_MISMATCH,1,1,0,MA-B-15-L1,0,stock_locator=B.15.L1 but stock is in [MA-B-15-L1]
R107M-12W-WW-60-S-V1,Module for R107 head range - WW 60 degrees - Special *,Downlights,9727435299588,Active,B.11.LEFTSHELF.L4,LOCATOR_MISMATCH,2,2,0,MA-B-16-L4,0,stock_locator=B.11.LEFTSHELF.L4 but stock is in [MA-B-16-L4]
