Status	SKU	MAP_Qty	Cin7_Qty	Difference	Shelves
map_only	60 X 200-POLE MOUNT BRACKET	1	0	-1	D74:1
map_only	76 X 208 X 50 X 200-L-SHAPE-SPIGOT-WH	1	0	-1	D74:1
map_only	76X90 GALVANISED SLEEVES	12	0	-12	D74:12
map_only	80 X 190 X 50 X 320-T-SHAPE-GRN-180	1	0	-1	D74:1
map_only	90 X 195 X 50 X 200-L-SHAPE SPIGOT-BK	2	0	-2	D74:2
map_only	90 X 195 X 50 X 200-L-SHAPE SPIGOT-WH	2	0	-2	D74:2
map_only	AL8OP4028-E	1	0	-1	Misc:1
map_only	AT9044-BLK-60-WW	16	0	-16	D73:16
map_only	BC-H17-01	2	0	-2	F10:2
map_only	BRONCO-6-10W-DIM	1	0	-1	Misc:1
map_only	DEK-EVOII50-WH	17	0	-17	A60:17
map_only	DOM-20635	3	0	-3	D49:2, Misc:1
map_only	GLOBE-150	7	0	-7	Misc:7
map_only	HUB-24V-IP20-060W-MO	77	0	-77	G-Floor:77
map_only	HUB-24V-IP20-100W-MO	78	0	-78	G-Floor:78
map_only	HUB-CONNECTOR-1M	270	0	-270	G-Floor:270
map_only	HUB-CONNECTOR-3M	270	0	-270	G-Floor:270
map_only	HUB-CONNECTOR-5M	300	0	-300	G-Floor:300
map_only	HUB-MASTER-TOUCH	50	0	-50	G-Floor:50
map_only	HUB-MASTER-WAVE	50	0	-50	G-Floor:50
map_only	HUB-SENSOR-DOOR	45	0	-45	G-Floor:45
map_only	HUB-SENSOR-TOUCH	35	0	-35	G-Floor:35
map_only	HUB-SENSOR-WAVE	33	0	-33	G-Floor:33
map_only	HV3003T-BLK-240V	5	0	-5	D53:5
map_only	LD644	27	0	-27	Misc:27
map_only	LF24BK-LED	1	0	-1	D69:1
map_only	LIN-WPO1-040-BK	2	0	-2	D49:2
map_only	LR1004R-01	1	0	-1	D77:1
map_only	LR1023R-03-C	1	0	-1	D69:1
map_only	LR1024R-03	1	0	-1	D69:1
map_only	R-GPO1-WH-V1	718	0	-718	A31:20, B26:100, C41:594, D50:4
