# STOCKTAKE AUDIT REPORT - Gateway vs MAP
# Generated: 2026-03-17T01:51:28.234Z
# MAP SKUs: 503 | Cin7 Gateway SKUs: 411
# Overlap: 405 | Match Rate: 82.2%
# Exact Match: 333 | Mismatch: 72
# MAP Only: 98 | System Only: 6
# MAP Total Qty: 115588 | Cin7 Total Qty: 112691
#
SKU	STATUS	SHELVES	MAP_QTY	CIN7_QTY	DIFF	NOTES
SOLO III	MAP_ONLY	C56(329)	329	0	-329	MAP ONLY - sem registro no Cin7
R2582-BK-TRI-60	MAP_ONLY	D19(171), D22(103)	274	0	-274	MAP ONLY - sem registro no Cin7
TVF-F	MAP_ONLY	D57(220)	220	0	-220	MAP ONLY - sem registro no Cin7
R2383-AL-2M	MAP_ONLY	F1(5), F7(200)	205	0	-205	MAP ONLY - sem registro no Cin7
R2582-WH-TRI-60	MAP_ONLY	D20(204)	204	0	-204	MAP ONLY - sem registro no Cin7
R2207-WH-CW-30-DALI	MAP_ONLY	F12(96), F18(86)	182	0	-182	MAP ONLY - sem registro no Cin7
R6333	MAP_ONLY	B7(48), B32(48), G-Floor(18)	114	0	-114	MAP ONLY - sem registro no Cin7
R1091-10-WH-WH-TRI	MAP_ONLY	C51(108)	108	0	-108	MAP ONLY - sem registro no Cin7
R2587-WH-PRO	MAP_ONLY	A6(102)	102	0	-102	MAP ONLY - sem registro no Cin7
R3520-EM-S-TRI	MAP_ONLY	A38(96)	96	0	-96	MAP ONLY - sem registro no Cin7
R3560-DIFF	MAP_ONLY	G1(84)	84	0	-84	MAP ONLY - sem registro no Cin7
R2212-WH	MAP_ONLY	C79(77)	77	0	-77	MAP ONLY - sem registro no Cin7
R3141	MAP_ONLY	C84(69)	69	0	-69	MAP ONLY - sem registro no Cin7
R1204-SC-CW	MAP_ONLY	D65(63)	63	0	-63	MAP ONLY - sem registro no Cin7
R3206-TRI-V2 (NO DRIVERS)	MAP_ONLY	D12(60)	60	0	-60	MAP ONLY - sem registro no Cin7
R1041-WH-TRI	MAP_ONLY	Misc(55)	55	0	-55	MAP ONLY - sem registro no Cin7
R1341-A-BK	MAP_ONLY	C46(47)	47	0	-47	MAP ONLY - sem registro no Cin7
R1021-WH-WW	MAP_ONLY	D77(3), Misc(42)	45	0	-45	MAP ONLY - sem registro no Cin7
R1031-WH-TRI	MAP_ONLY	Misc(40)	40	0	-40	MAP ONLY - sem registro no Cin7
R2207-BK-CW-30-DALI	MAP_ONLY	F12(40)	40	0	-40	MAP ONLY - sem registro no Cin7
R3041-050 BRACKETS	MAP_ONLY	D74(37)	37	0	-37	MAP ONLY - sem registro no Cin7
R2101-WH-WW	MAP_ONLY	A16(29)	29	0	-29	MAP ONLY - sem registro no Cin7
R2322-RGBW-5	MAP_ONLY	D9(27)	27	0	-27	MAP ONLY - sem registro no Cin7
R2321-WW-5-V2	MAP_ONLY	D9(25)	25	0	-25	MAP ONLY - sem registro no Cin7
R6085-WH-WW	MAP_ONLY	C31(23)	23	0	-23	MAP ONLY - sem registro no Cin7
R2213-WH	MAP_ONLY	C79(20)	20	0	-20	MAP ONLY - sem registro no Cin7
R3110-ADJ-BRACKET	MAP_ONLY	C36(20)	20	0	-20	MAP ONLY - sem registro no Cin7
R1069-WH-12W-WW-60	MAP_ONLY	D77(17)	17	0	-17	MAP ONLY - sem registro no Cin7
AT9044-BLK-60-WW	MAP_ONLY	D73(16)	16	0	-16	MAP ONLY - sem registro no Cin7
R2592-D-BK-WW	MAP_ONLY	A16(16)	16	0	-16	MAP ONLY - sem registro no Cin7
UP-DL22-4-25W-D	MAP_ONLY	D77(16)	16	0	-16	MAP ONLY - sem registro no Cin7
